ad_id,click,view,ctr
18525,25.0,409.0,0.061124694376528114
17396,17.0,276.0,0.06159420289855073
20374,21.0,328.0,0.06402439024390244
19946,11.0,163.0,0.06748466257668712
35953,20.0,285.0,0.07017543859649122
38224,18.0,253.0,0.07114624505928854
105604,14.0,169.0,0.08284023668639054
114959,22.0,259.0,0.08494208494208494
46639,44.0,253.0,0.17391304347826086
112583,105767.0,351802.0,0.3006435438115758
